TA2014,TA2014_NAM,PctNoTel,PctSpkMao,MaSpkOnMa,PctMaRelig,MedIncMao,MedIncome,MedIncDif,MaMedInDif,PctMaori,Total_Pop
TA1,Far North District,3.82,13.37,2.09,5.84,18200,21500,-3300,-1000,39.67,55734
TA2,Whangarei District,1.98,5.65,1.53,2.5,20300,25300,-5000,2800,24.31,76995
TA3,Kaipara District,2.71,4.29,1.63,2.99,19300,22600,-3300,100,21.63,18963
TA11,Thames-Coromandel District,2.72,3.53,0.66,1.25,19800,23200,-3400,700,15.85,26178
TA12,Hauraki District,2.66,4.35,1.36,2.43,19600,23100,-3500,600,20.14,17811
TA13,Waikato District,2.12,6.63,1.82,1.17,21600,30500,-8900,8000,22.73,63378
TA15,Matamata-Piako District,1.81,3.39,2.12,1.2,22800,29700,-6900,7200,14.24,31536
TA16,Hamilton City,1.72,5.27,1.53,1.28,21400,27700,-6300,5200,20.2,141615
TA17,Waipa District,1.36,2.74,1.44,0.94,25500,31900,-6400,9400,13.12,46668
TA18,Otorohanga District,2.4,6.3,1.69,1.65,18800,29100,-10300,6600,25.66,9141
TA19,South Waikato District,2.84,6.82,1.69,3.31,19100,23800,-4700,1300,30.65,22071
TA20,Waitomo District,3.89,10.24,2.35,4.11,20300,25600,-5300,3100,39.64,8907
TA21,Taupo District,2.5,7.51,1.82,5.63,21700,28200,-6500,5700,27.44,32907
TA22,Western Bay of Plenty District,1.7,4.94,1.69,2.43,20000,26300,-6300,3800,17.3,43692
TA23,Tauranga City,1.35,3.77,1.34,2.37,22500,27100,-4600,4600,16.27,114789
TA24,Rotorua District,2.61,10.46,1.84,3.16,21900,26900,-5000,4400,34.33,65280
TA25,Whakatane District,3.55,15.42,2.76,9.89,19200,25600,-6400,3100,39.86,32691
TA26,Kawerau District,5.51,17.44,2.21,12.8,17000,18700,-1700,-3800,54.6,6363
TA27,Opotiki District,6.31,20.77,2.51,17.79,17900,20700,-2800,-1800,53.59,8436
TA28,Gisborne District,3.12,14.3,1.98,5.43,19900,24400,-4500,1900,45.09,43653
TA29,Wairoa District,5.72,18.67,2.03,12.88,19400,22000,-2600,-500,59.39,7890
TA30,Hastings District,2.38,6.33,1.99,2.95,20100,26500,-6400,4000,22.97,73245
TA31,Napier City,1.93,4.49,1.52,2.65,21300,26000,-4700,3500,18.22,57240
TA32,Central Hawke's Bay District,1.84,5.14,1.24,2.39,24300,26700,-2400,4200,21.27,12720
TA33,New Plymouth District,1.53,3.12,1.21,0.51,23600,29100,-5500,6600,14.94,74187
TA34,Stratford District,1.77,1.9,0.31,0.44,23100,28300,-5200,5800,11.25,8988
TA35,South Taranaki District,2.15,5.14,1.22,1.83,23100,29200,-6100,6700,22.84,26577
TA36,Ruapehu District,4.99,10.54,2.06,5.28,19300,24100,-4800,1600,40.73,11844
TA37,Wanganui District,2.37,5.73,1.39,3.07,19000,23600,-4600,1100,21.69,42150
TA38,Rangitikei District,2.26,6.1,1.03,5.22,21600,25700,-4100,3200,23.33,14019
TA39,Manawatu District,1.41,3.07,0.93,1.13,23600,28400,-4800,5900,14.29,27459
TA40,Palmerston North City,1.45,3.68,1.02,1.24,23900,27000,-3100,4500,15.67,80079
TA41,Tararua District,2.46,4.27,1.17,3.12,20300,25100,-4800,2600,20.06,16854
TA42,Horowhenua District,1.91,4.59,0.94,1.48,19100,21800,-2700,-700,21.55,30096
TA43,Kapiti Coast District,1,3.7,1.18,0.59,24200,26900,-2700,4400,12.62,49104
TA44,Porirua City,1.59,4.92,1,1.42,23500,31400,-7900,8900,19.59,51717
TA45,Upper Hutt City,1.1,3.06,0.68,1,27300,32000,-4700,9500,13.28,40179
TA46,Lower Hutt City,1.65,4.25,1.21,1.27,25100,31500,-6400,9000,16.16,98238
TA47,Wellington City,1.06,2.38,0.75,0.42,31000,37900,-6900,15400,7.56,190956
TA48,Masterton District,1.97,3.88,1.09,1.44,20700,25300,-4600,2800,17.86,23352
TA49,Carterton District,1.51,2.22,1.29,0.74,24000,26700,-2700,4200,11.33,8235
TA50,South Wairarapa District,1.59,2.24,0.24,1.01,21900,28900,-7000,6400,13.16,9528
TA51,Tasman District,1.77,1.43,0.62,0.31,23600,25700,-2100,3200,7.29,47154
TA52,Nelson City,1.24,2.19,0.8,0.31,22400,27200,-4800,4700,8.97,46437
TA53,Marlborough District,1.54,2.05,0.76,0.64,23600,27900,-4300,5400,11,43416
TA54,Kaikoura District,1.49,3.97,2.03,1.01,22700,26400,-3700,3900,16.96,3555
TA55,Buller District,4.15,1.69,0.64,0.47,22900,25200,-2300,2700,9.2,10473
TA56,Grey District,2.19,1.28,0.52,0.27,23000,26600,-3600,4100,8.66,13371
TA57,Westland District,4.09,2.17,0.58,0.39,24300,28900,-4600,6400,12.64,8304
TA58,Hurunui District,1.28,1.28,0.38,0.28,24800,28600,-3800,6100,6.97,11529
TA59,Waimakariri District,0.99,1.25,0.51,0.39,27200,30300,-3100,7800,7.14,49989
TA60,Christchurch City,1.21,1.74,0.82,0.43,26200,29800,-3600,7300,8.13,341469
TA62,Selwyn District,0.7,1.16,0.5,0.26,35400,36100,-700,13600,6.81,44595
TA63,Ashburton District,1.29,1.48,0.85,0.45,31400,32900,-1500,10400,7.06,31041
TA64,Timaru District,1.33,1.39,0.49,0.3,23700,26900,-3200,4400,7.14,43929
TA65,Mackenzie District,1.34,1.37,1.14,0.39,28300,29300,-1000,6800,6.35,4158
TA66,Waimate District,1.71,1.55,0.68,0.39,22100,24800,-2700,2300,5.93,7536
TA67,Chatham Islands Territory,5.19,8.5,0,4.4,33800,30100,3700,7600,56.5,600
TA68,Waitaki District,1.54,0.97,0.48,0.25,24400,25300,-900,2800,6.14,20826
TA69,Central Otago District,1.08,1.36,0.94,0.25,25100,28200,-3100,5700,7.28,17895
TA70,Queenstown-Lakes District,1.57,0.82,0.21,0.1,32600,35200,-2600,12700,5.06,28224
TA71,Dunedin City,1.32,1.71,0.45,0.24,18700,23300,-4600,800,7.37,120246
TA72,Clutha District,1.49,1.69,0.58,0.4,27500,29900,-2400,7400,9.5,16890
TA73,Southland District,1.65,1.52,0.65,0.43,26600,33900,-7300,11400,9.55,29613
TA74,Gore District,1.34,2.52,1.48,0.88,25900,28800,-2900,6300,10.42,12033
TA75,Invercargill City,1.71,2.8,0.65,0.73,24200,27400,-3200,4900,14.55,51696
TA76,Auckland,1.39,2.18,1.07,0.9,24500,29600,-5100,7100,10.09,1415550
